Report Date,Projected Year,Percent,Participants
16/3/2022,2016,0.125,0
16/3/2022,2016,0.25,0
16/3/2022,2016,0.375,0
16/3/2022,2016,0.5,0
16/3/2022,2016,0.625,0
16/3/2022,2016,0.75,0
16/3/2022,2016,0.875,0
16/3/2022,2016,1,0
16/3/2022,2016,1.125,0
16/3/2022,2016,1.25,0
16/3/2022,2016,1.375,0
16/3/2022,2016,1.5,0
16/3/2022,2016,1.625,0
16/3/2022,2016,1.75,0
16/3/2022,2016,1.875,0
16/3/2022,2016,2,0
16/3/2022,2016,2.125,0
16/3/2022,2016,2.25,0
16/3/2022,2016,2.375,0
16/3/2022,2016,2.5,0
16/3/2022,2016,2.625,0
16/3/2022,2016,2.75,0
16/3/2022,2016,2.875,0
16/3/2022,2016,3,0
16/3/2022,2016,3.125,0
16/3/2022,2016,3.25,0
16/3/2022,2016,3.375,0
16/3/2022,2016,3.5,0
16/3/2022,2016,3.625,0
16/3/2022,2016,3.75,0
16/3/2022,2016,3.875,0
16/3/2022,2016,4,0
16/3/2022,2017,0.125,0
16/3/2022,2017,0.25,0
16/3/2022,2017,0.375,0
16/3/2022,2017,0.5,0
16/3/2022,2017,0.625,0
16/3/2022,2017,0.75,0
16/3/2022,2017,0.875,0
16/3/2022,2017,1,0
16/3/2022,2017,1.125,0
16/3/2022,2017,1.25,0
16/3/2022,2017,1.375,0
16/3/2022,2017,1.5,0
16/3/2022,2017,1.625,0
16/3/2022,2017,1.75,0
16/3/2022,2017,1.875,0
16/3/2022,2017,2,0
16/3/2022,2017,2.125,0
16/3/2022,2017,2.25,0
16/3/2022,2017,2.375,0
16/3/2022,2017,2.5,0
16/3/2022,2017,2.625,0
16/3/2022,2017,2.75,0
16/3/2022,2017,2.875,0
16/3/2022,2017,3,0
16/3/2022,2017,3.125,0
16/3/2022,2017,3.25,0
16/3/2022,2017,3.375,0
16/3/2022,2017,3.5,0
16/3/2022,2017,3.625,0
16/3/2022,2017,3.75,0
16/3/2022,2017,3.875,0
16/3/2022,2017,4,0
16/3/2022,2018,0.125,0
16/3/2022,2018,0.25,0
16/3/2022,2018,0.375,0
16/3/2022,2018,0.5,0
16/3/2022,2018,0.625,0
16/3/2022,2018,0.75,0
16/3/2022,2018,0.875,0
16/3/2022,2018,1,0
16/3/2022,2018,1.125,0
16/3/2022,2018,1.25,0
16/3/2022,2018,1.375,0
16/3/2022,2018,1.5,0
16/3/2022,2018,1.625,0
16/3/2022,2018,1.75,0
16/3/2022,2018,1.875,0
16/3/2022,2018,2,0
16/3/2022,2018,2.125,0
16/3/2022,2018,2.25,0
16/3/2022,2018,2.375,0
16/3/2022,2018,2.5,0
16/3/2022,2018,2.625,0
16/3/2022,2018,2.75,0
16/3/2022,2018,2.875,0
16/3/2022,2018,3,0
16/3/2022,2018,3.125,0
16/3/2022,2018,3.25,0
16/3/2022,2018,3.375,0
16/3/2022,2018,3.5,0
16/3/2022,2018,3.625,0
16/3/2022,2018,3.75,0
16/3/2022,2018,3.875,0
16/3/2022,2018,4,0
16/3/2022,2019,0.125,0
16/3/2022,2019,0.25,0
16/3/2022,2019,0.375,0
16/3/2022,2019,0.5,0
16/3/2022,2019,0.625,0
16/3/2022,2019,0.75,0
16/3/2022,2019,0.875,0
16/3/2022,2019,1,0
16/3/2022,2019,1.125,0
16/3/2022,2019,1.25,0
16/3/2022,2019,1.375,0
16/3/2022,2019,1.5,0
16/3/2022,2019,1.625,0
16/3/2022,2019,1.75,0
16/3/2022,2019,1.875,0
16/3/2022,2019,2,0
16/3/2022,2019,2.125,0
16/3/2022,2019,2.25,0
16/3/2022,2019,2.375,0
16/3/2022,2019,2.5,0
16/3/2022,2019,2.625,0
16/3/2022,2019,2.75,0
16/3/2022,2019,2.875,0
16/3/2022,2019,3,0
16/3/2022,2019,3.125,0
